"block","word","wd_int_syl_str","tar_syl_str","tar_syl","wd_status","matching","lemma","first_3","item_type"
"block09","sufiasa","CV","CV","ga","nonword","match","gar","suf","filler09"
"block10","joruma","CV","CV","jo","nonword","match","jor","jor","critical"
"block10","biluesa","CV","CV","jo","nonword","match","jor","bil","filler01"
"block10","cividra","CV","CV","jo","nonword","match","jor","civ","filler02"
"block10","gantarna","CVC","CV","jo","nonword","mismatch","jor","gan","filler03"
"block10","banzalla","CVC","CV","jo","nonword","mismatch","jor","ban","filler04"
"block10","piglillo","CVC","CV","jo","nonword","mismatch","jor","pig","filler05"
"block10","tinneza","CVC","CV","jo","nonword","mismatch","jor","tin","filler06"
"block10","fuzallo","CV","CV","jo","nonword","match","jor","fuz","filler07"
"block10","vendagio","CVC","CV","jo","nonword","mismatch","jor","ven","filler08"
"block10","bimina","CV","CV","jo","nonword","match","jor","bim","filler09"
"block11","garventa","CVC","CV","ga","nonword","mismatch","gar","gar","critical"
"block11","tulvano","CVC","CV","ga","nonword","mismatch","gar","tul","filler01"
"block11","cicauco","CV","CV","ga","nonword","match","gar","cic","filler02"
"block11","nulese","CV","CV","ga","nonword","match","gar","nul","filler03"
"block11","numete","CV","CV","ga","nonword","match","gar","num","filler04"
"block11","tildona","CVC","CV","ga","nonword","mismatch","gar","til","filler05"
"block11","mufenza","CV","CV","ga","nonword","match","gar","muf","filler06"
"block11","cuntela","CVC","CV","ga","nonword","mismatch","gar","cun","filler07"
"block11","pembanse","CVC","CV","ga","nonword","mismatch","gar","pem","filler08"
"block11","sufiasa","CV","CV","ga","nonword","match","gar","suf","filler09"
"block12","jorteda","CVC","CV","jo","nonword","mismatch","jor","jor","critical"
"block12","biluesa","CV","CV","jo","nonword","match","jor","bil","filler01"
"block12","cividra","CV","CV","jo","nonword","match","jor","civ","filler02"
"block12","gantarna","CVC","CV","jo","nonword","mismatch","jor","gan","filler03"
"block12","bidena","CV","CV","jo","nonword","match","jor","bid","filler04"
"block12","piglillo","CVC","CV","jo","nonword","mismatch","jor","pig","filler05"
"block12","tinneza","CVC","CV","jo","nonword","mismatch","jor","tin","filler06"
"block12","fuzallo","CV","CV","jo","nonword","match","jor","fuz","filler07"
"block12","vendagio","CVC","CV","jo","nonword","mismatch","jor","ven","filler08"
"block12","bimina","CV","CV","jo","nonword","match","jor","bim","filler09"
"block13","garele","CV","CVC","gar","nonword","mismatch","gar","gar","critical"
"block13","dezida","CV","CVC","gar","nonword","mismatch","gar","dez","filler01"
"block13","dinona","CV","CVC","gar","nonword","mismatch","gar","din","filler02"
"block13","sentirro","CVC","CVC","gar","nonword","match","gar","sen","filler03"
"block13","puscalla","CVC","CVC","gar","nonword","match","gar","pus","filler04"
"block13","cicisa","CV","CVC","gar","nonword","mismatch","gar","cic","filler05"
"block13","binima","CV","CVC","gar","nonword","mismatch","gar","bin","filler06"
"block13","fensuale","CVC","CVC","gar","nonword","match","gar","fen","filler07"
"block13","suñuela","CV","CVC","gar","nonword","mismatch","gar","suñ","filler08"
"block13","punfullo","CVC","CVC","gar","nonword","match","gar","pun","filler09"
"block14","joruma","CV","CVC","jor","nonword","mismatch","jor","jor","critical"
"block14","balzalla","CVC","CVC","jor","nonword","match","jor","bal","filler01"
"block14","fimegra","CV","CVC","jor","nonword","mismatch","jor","fim","filler02"
"block14","dulcura","CVC","CVC","jor","nonword","match","jor","dul","filler03"
"block14","zuscura","CVC","CVC","jor","nonword","match","jor","zus","filler04"
"block14","nafiaca","CV","CVC","jor","nonword","mismatch","jor","naf","filler05"
"block14","binero","CV","CVC","jor","nonword","mismatch","jor","bin","filler06"
"block14","puljida","CVC","CVC","jor","nonword","match","jor","pul","filler07"
"block14","vastimo","CVC","CVC","jor","nonword","match","jor","vas","filler08"
"block14","vuzarda","CV","CVC","jor","nonword","mismatch","jor","vuz","filler09"
"block15","garventa","CVC","CVC","gar","nonword","match","gar","gar","critical"
"block15","dezida","CV","CVC","gar","nonword","mismatch","gar","dez","filler01"
"block15","dinona","CV","CVC","gar","nonword","mismatch","gar","din","filler02"
"block15","sucema","CV","CVC","gar","nonword","mismatch","gar","suc","filler03"
"block15","puscalla","CVC","CVC","gar","nonword","match","gar","pus","filler04"
"block15","cicisa","CV","CVC","gar","nonword","mismatch","gar","cic","filler05"
"block15","binima","CV","CVC","gar","nonword","mismatch","gar","bin","filler06"
"block15","fensuale","CVC","CVC","gar","nonword","match","gar","fen","filler07"
"block15","suñuela","CV","CVC","gar","nonword","mismatch","gar","suñ","filler08"
"block15","punfullo","CVC","CVC","gar","nonword","match","gar","pun","filler09"
"block16","jorteda","CVC","CVC","jor","nonword","match","jor","jor","critical"
"block16","balzalla","CVC","CVC","jor","nonword","match","jor","bal","filler01"
"block16","fimegra","CV","CVC","jor","nonword","mismatch","jor","fim","filler02"
"block16","dulcura","CVC","CVC","jor","nonword","match","jor","dul","filler03"
"block16","zuscura","CVC","CVC","jor","nonword","match","jor","zus","filler04"
"block16","nafiaca","CV","CVC","jor","nonword","mismatch","jor","naf","filler05"
"block16","binero","CV","CVC","jor","nonword","mismatch","jor","bin","filler06"
"block16","puljida","CVC","CVC","jor","nonword","match","jor","pul","filler07"
"block16","tanera","CV","CVC","jor","nonword","mismatch","jor","tan","filler08"
"block16","vuzarda","CV","CVC","jor","nonword","mismatch","jor","vuz","filler09"
