Year,Title,Author,Experiment,Participant Language,Experiment Language,Research Question,Methodology,Task,Main Findings,Lexical Access or Segmentation,Stimuli List Given
1976, Units of speech perception: Phoneme and syllable,"Healy, A. F., & Cutting, J. E. (1976)",1,English,English,What is the basic unit of perception?,Monitoring,Vowels were used as the phoneme and VC sequences were used as syllable stimuli.,"1. Errors to /ɪ and eɪ/ were higher than /i, æ, aɪ/ in phoneme targets.F
2. For vowels /i,æ, aɪ/, phoneme error rates are lower than their syllable counter parts.
3. For vowels /ɪ, eɪ/, phoneme error rates are higher than their syllable counter parts.
4. RTs lower for matched searches than mismatched searches.",,No
1976, Units of speech perception: Phoneme and syllable,"Healy, A. F., & Cutting, J. E. (1976)",2,English,English,What is the basic unit of perception?,Monitoring,Vowels were used as the phoneme and VC sequences were used as syllable stimuli. The only difference is the matched-mismatched condition has been removed.,"1. Phoneme targets for /i, æ, aɪ/ responded to faster than syllable targets with same vowel.
2. Phoneme targets for /e, eɪ/  responded to slower than syllable targets with same vowel.
3. Removal of match condition resulted in lower error for experiment 2
4. Research question not comfirmed for phoneme or syllable as minimal perceptual unit.",,No
1981, The Role of Syllables in Speech Processing: Infant and Adult Data,"Mehler, J., & Hayes, R. W. (1981)",0,Various,Various,What does infant and adult data of speech perception or speech segmentation tell us?,Review,NA,A lot of questions unresolved and call for need of more experimental work.,,No
1981, The syllable’s role in speech segmentation,"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)",1,French,French,What is the role of syllable segmentation?,Monitoring,Find PA (CV) or PAL (CVC) in French nouns as fast and accurately as possible,1. RTs faster when initial syllable structure matched of the carrier item matched the search item.,,No
1981, The syllable’s role in speech segmentation,"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)",2,French,French,What is the role of syllable segmentation?,Monitoring,Replicate Experiment 1 but with targets (V) and (VC).,"1. V targets were not found to be faster in CV or CVC carriers.
2. VC targets found faster in CVC carriers than CV carriers.
3. Both support facilitation of syllables in French listeners.",,No
1981, The Role of the Syllable in Language Acquisition and Perception,"Mehler, J., Segui, J., & Frauenfelder, U. (1981)",0,Various,Various,What role does the syllable have in speech perception or language acquisition,Review,NA,A good review of many of the articles listed here and will be writing about for exams.,,No
1981," Phoneme monitoring, syllable monitoring and lexical access","Segui, J., Frauenfelder, U., & Mehler, J. (1981)",1,French,French,What is the lexical effect of the first phoneme and first syllable in RT differences?,Monitoring,"Phoneme and syllable monitoring for /b, d, p/ or /ba, de, pi/ in French real and noncewords.","1. Target-type effect found between phoneme and syllable.
2. Lexical status of carrier did not reach significance.
3. Syllables detected faster than phonemes (Evidence against bottom-up processing models)",,Yes
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",1,English,English,What are the units comprising the syllable? Do these syllable internal units have a role in speech processing?,Syllable-based Game Learning,"CVC stimulus syllable was transformed into 2 different response syllables. 
Training Phase: split CVC afterintial C.
Testing Phase: Included both CVC and CCVC syllables","1. No one segmented based of perceived spelling ""Letter Rule""
2. Participants generalized the initial C from the training phase to the onset of CCVC syllables in the testing phase.
",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",2,English,English,Were participants in experiment 1 attending to the Onset or the Rime of the syllable?,Syllable-based Game Learning,"CVC stimulus syllable was transformed into 2 different response syllables. 
Training Phase: split CVC before final C.
Testing Phase: Included both CVC and CVCC syllables
The same participants that participated in experiment 1 completed experiment 2 (within subjects)","1. No one segmented based of perceived spelling ""Letter Rule""
2. Participants generalized the final C from the training phase to the complex coda of CVCC syllables in the testing phase. (1 participant did not follow this pattern, while 11 did.)
3. While both experiments 1 and 2 suggest that participants treat consonant clusters as a unit, it suggests that this tendancy is strong in onset clusters than coda clusters.
",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",3,English,English,Is syllable theory boundary between Onset and Rime supported by data?,Syllable-based Game Learning,"CV stimulus transformed into Co-dV and VC stimulus transformed into Vd-oC.
Testing phase used CVC syllables
Task more difficult because 2 rules needed learned (new subjects - Between subjects analysis with experiments 1 and 2)","1. Vowel is grouped with coda consonant, which supports the syllable theory sisters Onset–Rime.
2. Experiments 1-3 show the overwhelming preference to divide syllables into C-VC rathern than CV-C.",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",4,English,English,Can preferences found in Experiments 1-3 be predicted in word games?,Word-Based Game Learning,CCVC stimulus trained in different versions: (CC-VC or C-CVC). Each version was taught both versions in opposite orders.  ,"1. The version that splits them into CC-VC had significantly less errors than the version that splits them into C-CVC. Furthermore, the errors in C-CVC condition typically corresponded to correct answers in the alternative version (CC-VC).
2. Further support for Onset–Rime distinction.",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",5,English,English,Can preferences found in Experiments 1-3 be predicted in word games?,Word-Based Game Learning,"CVCC stimulus trained in different versions: (CV-CC or CVC-C). Each version was taught both versions in opposite orders.

A follow up was conducted with same stimuli lacking the Onset (V-CC or VC-C) 18 new participants used in follow-up.","1. Higher numbers errors for CVC-C version not supported, but higher proportion of errors on the CVC-C version would be correct answers for the CV-CC version while the reverse pattern is not true.
2. The follow-up onsetless stimuli again did not support prediction of higher errors VC-C than V-CC. Additionally, it did not show higher proportion of VC-C errors that would be correct answers in V-CC version.
3. Cohesiveness of Coda as psychological unit is not supported as in the case of the Onset. ",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",6,English,English,Can preferences found in Experiments 1-3 be predicted in word games?,Word-Based Game Learning,"CVC stimulus split in version 1 as C-VC (natrural) and in version 2 as CV-C (unnatural).
18 new participants used in current experiment","1. Significantly more errors made in CV-C (unnatural boundary) than in C-VC (natural boundary).
2. Proportion of errors in CV-C version that would have been acceptable answers in C-VC version not different from the reverse option.
3. Support for Rime as psychologically valid unit.",,No
1983, The structure of spoken syllables: evidence from novel word games,"Treiman, R. (1983)",7,English,English,What preference do speakers have when given free options?,Blending Syllables,"Participant were given two nonsense CCVCC syllables and asked to combine them into one new CCVCC syllable in the preference study.

In the ability study, participants were taught each of the four possible rules on different occasions and at the end of the study asked to rank the naturalness of the four rules.
","1. In the preference study, overwhelming support of for dividing between Onset and Rime.
2. In the preference study and additional onsetless variant of the preference study, no support for Peak–Coda division was found.
3. In the ability study, CC-VCC were easier to learn than C-CVCC rule (Keep Onsets intact as one unit).
4. In the ability study, CC-VCC were easier to learn than CCV-CC and CCVC-C (Keep Rime intact as one unit.)
5. In the ability study, CCV-CC was NOT easier to learn than CCVC-C rules (No support for pyschological Coda unit).
6. Naturalness rankings matched results CC-VCC > C-CVCC > CCVC-C > CCV-CC (natural to unnatural)",,No
1986, The syllable’s differing role in the segmentation of French and English,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",1,English,English,What happens when syllable boundaries are blurred?,Monitoring,Speakers are asked to monitor for CV or CVC targets in real words where one of the words in a pair has an ambisyllabic [l].,"1. No significant differences found between target types.
2. Ambisyllabic words had faster RTs by subjects, but not by items.
3. Repetition effects not found.
4. No interaction of target and carrier type. (No crossover effect)–no syllibification strategy used by English speakers.",,No
1986, The syllable’s differing role in the segmentation of French and English,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",2,English,French,Could Mehler (1981) French results be an artefact of experimental design?,Monitoring,English speakers that are naive listeners of French monitor the same material used in Mehler (1981) for CV and CVC targets.,"1. CV syllables found fasters than CVC syllables in initial position.
2. No interaction again indicating English listeners appear not to utilize a syllable based segmentation strategy.
3. Mehler (1981) results not an aretfactual design flaw.",,No
1986, The syllable’s differing role in the segmentation of French and English,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",3,English,French,Could faster response times to CV syllables be due to post-lexical desicions?,Monitoring,"English speakers that are naive listeners of French monitor again for CV and CVC targets, but this time in noncewords that follow French phonotactics.","1. This time, RTs were faster for CVC carriers where coda consonant was ambisyllabic.
2. Findings support that listeners are applying same strategy regardless of language they are listening to.",,No
1986, The syllable’s differing role in the segmentation of French and English,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",4,French,English,"To confirm, experiment 3 results, they investigate what French listeners do with English material.",Monitoring,French speakers that are naive listeners of English are tested on the same material as Experiment 1 in the current study.,"1. Interaction between target and carrier type found again.
2. French listeners did not show difference between CV and CVC(ambisyllabic) carrier types as the English listeners did.
3. This confirms the results of experiment 1 in the current study and eliminates the possibility of artefacts in design generating the results.
4. Suggests that syllabification strategy may be  language specific instead of universal.",,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",1,Portuguese,Portuguese,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Initial Phoneme Deletion,"In CV, VCV, CCV and VCCV syllable structures, do participants delete initial phone or entire cluster of orally presented pseudoword?","1. Illiterates perform better when deleting [^] than [p] phones, but performed worse in both when compared to exliterates.",,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",2,Nonlinguistic,Nonlinguistic,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Initial Note Deletion,Participants need to delete the inital note from the musical sequence of notes. Participants demonstrated this capability by playing the last 3 notes of a 4 note sequence played by experimenter.,1. Better readers did better on task than poorer readers and illiterates.,,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",3,Portuguese,Portuguese,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Progessive Segmentation,"Participants given a 4-7 word utterance and asked to repeat initial word, then repeate the first syllable of the word, then the first phoneme of the syllable until they could go no further","1. 9 illiterates reached syllable, 4 of those illiterates produced consonant name.
2. 19 ex-literates reached syllable, 17 of those produced subsyllabic segment.",,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",4,Portuguese,Portuguese,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Monitoring,Detect syllable (stressed [tá]; unstressed [t^]) or phoneme ([r] or [k]) in a recorded sentence.,"1. Ex-literates approached ceiling on all 4 targets.
2. Illiterates performed much worse on phoneme [k] than syllable targets.",,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",5,Portuguese,Portuguese,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Rhyme Detection,Experimenter turned over and pronounced the name of the common objects found on each card. The first card was the target and one of the remaining four cards rhymed with the target. The participant pointed to the card they thought to be the rhyming pair.,1. No effect of error rates in target-rhyme pairs,,No
1986, Literacy training and speech segmentation,"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",6,Portuguese,Portuguese,"Is being literate necessary to analyze speech below the level of morpheme?
Do success with rhymes or sound relations directly relate to segmentation abilities?",Object Recall,Participant showed a card for 2 seconds and then place face-down on the table by the experimenter. Then all ten cards were presented to the participant and they had to place only the ones presented in the correct presentation order.,"1. Illiterates had lower number of cards as determined by training phase 50-60% accuracy criterion. Even so, they still gave less correct responses.
2. Rhyming effect was only significant for better readers.",,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",1,English,English,Does preference to split nonsense syllable between Onset and Rime transfer to real words?,Blending Syllables,Participants were given two CVCC syllables and asked to blend them to create one new CVCC syllable.,1. Participants favor the Onset–Rime division in real words as they do with nonwords.,,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",2,English,English,Does preference to split nonsense syllable between Onset and Rime transfer to real words?,Blending Syllables,Participants were given two CCVC syllables and asked to blend them to create one new CCVC syllable.,1. Participant again favor the Onset–Rime division in real words as they do with nonwords.,,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",3,English,English,Does the preference to divide between the Onset and Rime vary with different phonetic material in the Onset?,Syllable-based Game Learning,"Participants give CCV syllable where onset followed 4 different conditions: 
/s/ + obstruent; /s/ + nasal; obstruent + liquid; obstruent + glide.
Each participant taught two version on separate occasions: CC-V and C-CV","1. The CC-V game had less errors, longer correct streaks and faster response times than C-CV game across all conditions.
2. No evidence that certain cluster types are more cohesive than others. (sp, st, and sk clusters fair no better suggesting that previous special status of these clusters is unsupported by the data here)
3. Sonority of consonants in onset clusters do not seem to play the same role as they do in coda clusters.",,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",4,English,English,Does the sonority of the consonant in CVC syllables differ in blending games?,Blending Syllables,"Participants given two CVC syllables and asked to blend them into one new CVC syllable. Five conditions of initial C: stop, fricative, nasal, liquid or glide.","1. As expected the C-VC division was more frequent.
2. The blending division was not affected by sonority difference in prevocalic consonants.",,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",5,English,English,Does the preference to divide between the Onset and Rime extend to Onsets with 3 consonant clusters?,Syllable-based Game Learning,"Participants given CCCV syllable where onsets were one of the following:
/spr, spl, skr, skl, skw, str/. Each participant taught 3 versions of game on separate occasions: CCC-V, C-CCV and CC-CV.","1. CCC-V outpreformed the average of CC-CV and C-CCV games.
2. C-CCV had 9% error rate that would be correct for CCC-V game, but reverse pattern not true.
3. CC-CV had 20% error rate that would be correct for CCC-V game, but only 8% of errors in the CCC-V game would have been correct answers in the CC-CV game (a signficant difference)
4. No reliable difference of error proportions between CC-CV and C-CCV games.",,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",6,English,English,Does the preference to keep CCC-V division persist when given a choice?,Blending Syllables,"Participants given two nonsense CCCV syllables and asked to blend them into one new syllable. CCC-V, CC-CV, CC-V, C-CV and C-V combinations were possible responses.","1. CCC-V were used more often than any other type.
2. Further support that when given a choice, participant blend the complete onset from the first syllable with the complete rime from the second syllable.",,No
1986, The division between onsets and rimes in English syllables,"Treiman, R. (1986)",7,English,English,Do the results of previous experiments extend to a different type of word game?,Syllable-based Game Learning,Participant given CVC and CCV syllables in two different games (replace first two phonemes or replace last two phonemes). Participants were told that a change was going to happen that would change one syllable into another and that they needed to figure out the pattern behind the change.,"1. Results show better performs for CVC game when replacing last two phonemes (Rime VC) and for CCV games when replacing first two phonemes (CC onset).
2. When compared with 8 year old children from Trieman (1985), the pattern was exactly the same with better performance by the adults. (Age did not correlate with any independent variable)
3. Mounting more evidence for natural syllable constituents of Onset and Rime.",,No
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",1,French,French,"Can lexical information influence phonemic processing?
Are phoneme monitoring repsonses given before or after lexical access?",Monitoring,"Phoneme monitoring in 25 word-nonword pairs: 5 CV, 10 CCV (initial C distinguished between word–nonword) and 10 CVC (final C distinguished between word–nonword). Phoneme was printed in written form.","1. Words responded to faster than nonwords.
2. Evidence against McClelland and Elman (1986) who predict no lexical effects should be observed when clear phonemes are articulated in word-initial position.
3. Evidence against Foss and Gernsbacher (1983) who predict controlled following vowel should eliminate any lexicality effects.",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",2,English,French,Could results in Experiment 1 be due to some low-level confound of design or stimuli.,Monitoring,Same as Experiment 1: Phoneme monitoring with naive French listeners who were only trained on French grapheme–phoneme correspondence.,"1. no significant main effects.
2. phonetic structure patternd as in Experiment 1: CV<CVC<CCV.
3. Experiment 1 result not due to low-level confound (acoustic or phonetic)",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",3,English,English,Do English listeners exhibit a lexicality effect in native language?,Monitoring,"22 word–nonword pairs with CVC structure in initial syllable constructed for phoneme monitoring /b, d/.","1. No main effects or interactions significant.
2. Evidence against lexical effects always appearing in short carrier items.",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",4,English,English,Do English listeners exhibit a lexicality effect in native language?,Monitoring,"Phoneme monitoring in 25 word-nonword pairs: 2 CV, 9 CCV (initial C distinguished between word–nonword) and 14 CVC (initial C againg distinguished between word–nonword). Phoneme was printed in written form.","1. In subjects anaylsis, word status and phonetic structure both significant, but neither was significant in items analysis.
2. No interaction between word stauts and phonetic structure.
3. CVC items responded to faster than CV and CCV items.
4. Lexical effect found for open syllables, but not for closed syllables.",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",5,English,English,Do English listeners exhibit a lexicality effect in native language?,Monitoring,"40 word–nonword pairs with CVC structure in initial syllable constructed for phoneme monitoring /b, d/, but /p, t/ were added.","1. Significant difference for /p/ targets, but not /b, d, t/.
2. No correlation of length suggesting lexical effect is a correlate of vowel length.",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",6,English,English,Does increasing task difficulty by monitoring for 2 different targets affect lexicality effects?,Monitoring,"22 word–nonword pairs with CVC structure in initial syllable constructed for phoneme monitoring /b, d/. However, this time one key responded to /b/ and a different key resoonded to /d/.","1. Repsonse type not significant in subjects analysis, but highly significant in items analysis.
2. No interaction reached significance, but /b/ trended towards stronger lexicality effects than /d/.
3. CV length correlation signficant.
4. Task difficulty does not seem to affect lexicality effects from appearing and disappearing.",,Yes
1987, Phoneme identification and the lexicon,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",7,French,French,Can effects of Experiment 6 be replicated in French?,Monitoring,"20 word–nonword pairs with CVC structure in initial syllable constructed for phoneme monitoring /b, d/, but /p, t/ were added.","1. Lexicality effects disappeared.
2. Results suggest that task monotony can affect whether lexical effects come and go in phoneme monitoring.",,Yes
1988, The role of strong syllables in segmentation for lexical access,"Cutler, A., & Norris, D. (1988)",1,English,English,Are strong-weak syllable patterns the segmentation cues prodcutive for English listeners?,Word Spotting,Find word in nonsense string of where bisyllabic string varied between Strong-Strong pattern and Strong-Weak pattern.,"1. Word was found faster when Strong-Weak pattern made up the syllable structure.
2. Supports that English speakers start lexical searches on Strong syllables.",,Yes
1988, The role of strong syllables in segmentation for lexical access,"Cutler, A., & Norris, D. (1988)",2,English,English,Are results of Experiment 1 due to better or worse acoustic template matching?,Word Spotting,"Find real word in string of monosyllabic items, where real words were stimuli chopped off final VC sequence that created the nonword bisyllabic stimuli in experiment 1.",1. The RT effect found in Experiment 1 disappeared showing that real word found SS or SW were not different from one another. Validates findings in Experiment 1.,,Yes
1988, The role of strong syllables in segmentation for lexical access,"Cutler, A., & Norris, D. (1988)",3,English,English,Are segmentation cues causing the RT effect?,Word Spotting,"Find real word in nonsense string following SS or SW patterns. However, additional condition of syllable structure is added (CVCC versus CVC).","1. The results of Experiment 1 CVCC were replicated.
2. CVC words did not show the effect of RT.
3. Detection time differences cannot be attributed to longer length of 2nd syllable or greater intensity of 2nd syllable. Detection time differences only occur when a portion of the word crosses the segmentation boundary.",,Yes
1988, The relative accessibility of phonemes and syllables,"Norris, D., & Cutler, A. (1988)",1,English,English,What happens to Phoneme and Syllable RTs when foils are introduced forcing participants to analyze the entire phoneme or syllable?,Monitoring,"Participants montiored for phonemes or syllables in words and nonwords under different foil conditions: Phoneme without foils (replication), Phoneme with foils that differed by 1 distinctive feature, Syllables without foils (replication), Syllables with foils that differed by 2 distinctive features in onset C (Condition 1) OR coda C (Condition 2).","1. Syllable monitoring with coda C changes had slowest reaction times.
2. Phonemes without foils faster than syllables without foils. (This is surprising).
3. When full analysis is required, phoneme is detected faster, and they argue that this is evidence against syllable perceptual unit. They argument that all previous monitoring results are the caused by artefactual designs. (To my knowledge no one ever tested this claim or replicated the current study.)",,Yes
1988, Syllabification of intervocalic consonants,"Treiman, R., & Danis, C. (1988)",1,English,English,What happens with intervocalic consonants?,Syllable-based Game Learning,Participants had to reverse the syllable order in an oral task and then to spell the word in a written task.,"1. Spelling and stress both affected responses in oral task. When spelled with a double consonant, it was more likely to be placed in both syllables (ambisyllabic). When second syllable stressed, it was more likely to be placed as onset of second syllable. When first syllable was stressed, it did not entail that it was treated as the coda of the first syllable. Higher porportions of ambisyllabicity given when first syllable was stressed compared to when second syllable was stressed.
2. In written task, ambisyllabic consonants weren't available choice. Portions of first syllable responses higher when first syllable stressed. Spelling significant because double consonants were placed in first syllable more often.",,Yes
1988, Syllabification of intervocalic consonants,"Treiman, R., & Danis, C. (1988)",2,English,English,Does the phonetic category of the intervocalic consonant make a difference?,Word-Based Game Learning,"Participant given bisyllabic word where medial consonant was obstruent, nasal or liquid again with an oral task and written task as in experiment 1.","1. Consonant placed in second syllable more frequently than in first syllable.
2. Stress effects replicated from experiment 1.
3. Obstruents less likely to be considered ambisyllabic than liquids and nasals.
4. Written task results replicate Experiment 1.",,Yes
1988, Syllabification of intervocalic consonants,"Treiman, R., & Danis, C. (1988)",3,English,English,What occurs with syllabification with long versus short vowels,Word-Based Game Learning,"Participant given bisyllabic word where medial consonant was obstruent, nasal or liquid again, but the first vowel was either long or short with an oral task and written task as in experiment 1.
Short or Lax (/ I, ɛ, æ, ʌ, a/)
Long or Tense ( i, e, ai, o, u/)","1. When V was long and consonant was obstruent, significantly more second syllable responses given.
2. Ambisyllabic responses given significantly more when vowel was short and medial consonant was nasal or liquid.
3. syllibification affected by phonological category of medial consonant and stress of the preceding vowel. When preceding vowel was short, more responses placed the medial consonant in the first syllable coda position.",,Yes
1990, Attentional allocation during speech perception: How fine is the focus?,"Pitt, M. A., & Samuel, A. G. (1990)",1,English,English,Can attention be focused on a subsyllabic unit? What are the perceptual consequences of this fine tuning?,Monitoring,"Selective Attention Phoneme Monitoring where training phase indirectly biased participants for expected locations (c1, c2, c3 or c4) in CVC.CVC words, which was different between subject groups. 50% of the trials contained no target match. 180 of 240 trials with target matches had the target in expected location (20 experimental targets and 160 filler targets). A control group was included with no bias in expeceted condition.","1. RTs decrease and errors increase the with distance from left edge of word relative to one another.
2. Participants could attend to the specific location they expected the target to be found (attended to phoneme).
3. Within same syllable as Expected location, the Unexpected location received slower RTs than the expected location.",Segmentation,Yes
