practiceListA,practiceListA0,practiceListA1,practiceListA2,practiceListA3,practiceListA4,practiceListA5,practiceListA6,practiceListA7,conditionA,stimuliListA0,stimuliListA1,stimuliListA2,stimuliListA3,stimuliListA4,stimuliListA5,stimuliListA6,stimuliListA7,stimuliListA8,stimuliListA9,stimuliListA10,stimuliListA11,stimuliListA12,stimuliListA13,stimuliListA14,stimuliListA15,stimuliListA16,stimuliListA17,stimuliListA18,stimuliListA19,stimuliListA20,stimuliListA21,stimuliListA22,stimuliListA23,stimuliListA24,stimuliListA25,stimuliListA26,stimuliListA27,stimuliListA28,stimuliListA29,stimuliListA30,stimuliListA31,stimuliListA32,stimuliListA33,stimuliListA34,stimuliListA35,stimuliListA36,stimuliListA37,stimuliListA38,stimuliListA39,stimuliListA40,stimuliListA41,stimuliListA42,stimuliListA43,stimuliListA44,stimuliListA45,stimuliListA46,stimuliListA47,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,seg_key_resp.keys,seg_key_resp.rt,syl_key_resp.keys,syl_key_resp.corr,syl_key_resp.rt,participant,session,Name,date,expName,psychopyVersion,frameRate,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,Condition,A,Testing,2019_Mar_05_2336,Syllabification,3.0.5,None,
