X1,lextaleRespEsp,lextaleRespEspCorr,lextaleRespEspRT,lex_pres_order,word,translation,corrAnsEspV,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,Order,corrAns
33,z,1,1.64105,31,pandilla,gang,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
34,m,1,1.7123549999999998,32,fatacidad,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
35,m,1,2.48673,33,pauca,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
36,z,1,0.638995,34,aviso,notice,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
37,m,1,1.752245001,35,rompido,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
38,z,1,1.68882,36,loro,parrot,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
39,z,1,1.38016,37,granuja,rascal,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
40,z,1,0.7190000000000001,38,estornudar,sneeze,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
41,z,1,0.58821,39,torpe,clumsy,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
42,z,1,0.771965,40,alfombra,carpet,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
43,z,1,0.851985,41,rebuscar,rummage,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
44,m,1,2.136755,42,cadallo,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
45,z,1,0.871775,43,canela,cinnamon,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
46,z,1,1.01473,44,cuchara,spoon,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
47,z,1,1.031394999,45,jilguero,goldfinch,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
48,z,1,1.02037,46,martillo,hammer,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
49,z,0,1.255035,47,cartinar,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
50,z,1,2.797375,48,ladrón,thief,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
51,z,1,1.158045,49,ganar,win,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
52,m,1,2.489130001,50,flamida,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
53,z,1,0.67912,51,candado,padlock,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
54,z,1,0.99358,52,camisa,shirt,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
55,z,0,0.813194999,53,vegada,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
56,z,1,2.868245,54,fomentar,promote,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
57,z,1,0.70749,55,nevar,snow,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
58,z,1,0.854900001,56,musgo,moss,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
59,z,1,0.8249349990000001,57,tacaño,stingy,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
60,m,1,3.1134,58,plaudir,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
61,z,1,0.902825,59,besar,kiss,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
62,z,1,1.195935,60,matar,kill,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
63,z,1,0.671425,61,seda,silk,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
64,z,1,0.4859850000000001,62,flaco,skinny,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
65,m,1,5.424695,63,esposante,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
66,z,1,0.67097,64,orgulloso,proud,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
67,z,1,1.275995,65,bizcocho,cake,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
68,m,1,1.09356,66,hacido,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
69,z,1,1.4780399990000002,67,cabello,hair,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
70,z,1,0.740325,68,alegre,cheerful,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
71,z,1,4.554285,69,engatusar,cajole,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
72,m,1,4.403770001,70,temblo,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
73,z,1,1.085225,71,polvoriento,dusty,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
74,m,1,2.277275,72,pemición,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
75,z,1,1.646545,73,hervidor,kettle,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
76,m,1,1.81383,74,cintro,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
77,z,1,0.642325,75,yacer,lie,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
78,z,1,0.83568,76,atar,tie,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
79,z,1,0.639280001,77,tiburón,shark,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
80,z,1,0.855175001,78,frondoso,leafy,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
81,z,0,0.742815,79,tropaje,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
82,z,1,0.70825,80,hormiga,ant,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
83,z,1,0.473815,81,pozo,well,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
84,m,1,1.5582249990000001,82,empirador,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
85,z,1,0.812895,83,guante,glove,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
86,m,1,3.254775001,84,escuto,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
87,z,1,0.7938149999999999,85,laud,lute,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
88,z,1,1.403030001,86,barato,cheap,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
89,m,1,2.689285,87,grodo,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
90,z,1,1.24375,88,acantilado,cliff,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
91,z,1,0.7695350000000001,89,prisa,hurry,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
92,z,1,1.028785,90,clavel,carnation,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
3,m,1,0.8204100000000001,1,terzo,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
4,z,1,1.18571,2,pellizcar,pinch,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
5,z,1,0.7855,3,pulmones,lungs,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
6,z,0,1.94997,4,batillón,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
7,z,1,0.847195,5,zapato,shoe,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
8,z,1,1.075615,6,tergiversar,distort,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
9,z,1,0.920105,7,pésimo,abysmal,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
10,m,1,1.2081,8,cadeña,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
11,z,1,1.300555,9,hacha,axe,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
12,m,1,0.956625,10,antar,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
13,m,0,0.7608199999999999,11,cenefa,edging,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
14,z,1,0.7673949999999999,12,asesinato,murder,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
15,z,1,1.38079,13,helar,freeze,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
16,z,1,2.6566400000000003,14,yunque,anvil,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
17,z,1,0.79285,15,regar,water,z,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
18,m,1,1.460595,16,abracer,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
19,m,1,0.88939,17,floroso,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
20,m,1,0.651385,18,arsa,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
21,m,1,0.8857,19,brecedad,NW,m,35,Hombre,México,México,México,Escuela Secundaria,español,español,5a875d6cf1408d0001769479,2020-07-12_00h27.24.660,lemma_segmentation,Win32,5f0a9eed4b5f2f362f3e1df5,NA,NA
